1,Book Title 1,Author 1,Fiction,1995,true
2,Book Title 2,Author 2,Fantasy,2003,false
3,Book Title 3,Author 3,Science Fiction,2018,true
4,Book Title 4,Author 4,Mystery,1985,true
5,Book Title 5,Author 5,Biography,2012,true
6,Book Title 6,Author 6,Romance,2010,true
7,Book Title 7,Author 7,Thriller,1999,true
8,Book Title 8,Author 8,Non-Fiction,2015,false
9,Book Title 9,Author 9,Fiction,1991,true
10,Book Title 10,Author 10,Science Fiction,2005,false
11,Book Title 11,Author 11,Mystery,2020,false
12,Book Title 12,Author 12,Thriller,1988,false
13,Book Title 13,Author 13,Fantasy,2019,true
14,Book Title 14,Author 14,Romance,2007,false
15,Book Title 15,Author 15,Non-Fiction,1994,false
16,Book Title 16,Author 16,Biography,2011,false
17,Book Title 17,Author 17,Fiction,2000,false
18,Book Title 18,Author 18,Fantasy,1989,false
19,Book Title 19,Author 19,Science Fiction,2009,false
20,Book Title 20,Author 20,Non-Fiction,1998,false
21,Book Title 21,Author 21,Thriller,2001,false
22,Book Title 22,Author 22,Biography,1990,false
23,Book Title 23,Author 23,Fiction,2002,false
24,Book Title 24,Author 24,Mystery,2014,false
25,Book Title 25,Author 25,Romance,2017,false
26,Book Title 26,Author 26,Science Fiction,1996,false
27,Book Title 27,Author 27,Non-Fiction,1987,false
28,Book Title 28,Author 28,Thriller,1997,false
29,Book Title 29,Author 29,Fantasy,2016,false
30,Book Title 30,Author 30,Fiction,2021,false
